Site,Type,District,Year_Built,UNESCO,Visitors_Yearly
Mahabodhi Temple,Temple,Gaya,-200,Yes,500000
Nalanda University,Ruins,Nalanda,500,Yes,250000
Vikramshila University,Ruins,Bhagalpur,800,No,100000
Barabar Caves,Caves,Jehenabad,-300,No,75000
Sher Shah Suri Tomb,Tomb,Sasaram,1545,No,120000
Patna Museum,Museum,Patna,1917,No,200000
Takht Sri Patna Sahib,Gurudwara,Patna,1666,No,400000
Madhubani Art,Art,Madhubani,Ancient,No,50000
Sonepur Mela,Festival,Saran,Ancient,No,600000
Rajgir Mahotsav,Festival,Nalanda,Annual,No,80000
Kesariya Stupa,Stupa,East Champaran,200,No,150000
Jal Mandir,Temple,Pawapuri,5th Century,No,120000
Ashoka Pillar,Pillar,Vaishali,-250,No,180000
Ghora Katora Lake,Natural,Rajgir,Ancient,No,60000
Rohtasgarh Fort,Fort,Rohtas,1223,No,70000
Tomb of Malik Ibrahim Bayu,Tomb,Nalanda,14th Century,No,20000
Maner Sharif,Dargah,Patna,1600,No,90000
Golghar,Granary,Patna,1786,No,220000
Agam Kuan,Well,Patna,3rd Century BCE,No,80000
Padri Ki Haveli,Church,Patna,1713,No,100000
Bihar Museum,Museum,Patna,2015,No,300000
Navlakha Palace,Palace,Darbhanga,17th Century,No,60000
Shershah Suri Masjid,Mosque,Patna,1545,No,50000
Chhath Puja,Festival,Statewide,Ancient,No,1000000
Munger Fort,Fort,Munger,1700,No,90000
Kumhrar,Archaeological,Patna,600 BCE,No,50000
Karpoori Thakur Memorial Museum,Museum,Samastipur,2007,No,30000
Janki Temple,Temple,Sitamarhi,17th Century,No,85000
Sasaram Jama Masjid,Mosque,Sasaram,1545,No,40000
Dharmsala of Sher Shah,Tomb,Sasaram,16th Century,No,30000
Rajmahal Hills,Natural,Bhagalpur,Ancient,No,70000
Shivala Ghat,Ghat,Patna,Ancient,No,60000
Kanwar Lake Bird Sanctuary,Sanctuary,Begusarai,Modern,No,55000
Telhara University,Ruins,Nalanda,5th Century,No,40000
Chandrahari Museum,Museum,Darbhanga,1950,No,25000
Ramchaura Mandir,Temple,Vaishali,Ancient,No,65000
Hieun Tsang Memorial Hall,Museum,Nalanda,1957,No,30000
Udayagiri Caves,Caves,Gaya,2nd Century BCE,No,50000
Nepali Mandir,Temple,Patna,1800,No,45000
Pretshila Hill,Natural,Gaya,Ancient,No,35000
Surya Mandir,Temple,Aurangabad,Ancient,No,80000
Rajgir Hot Springs,Natural,Nalanda,Ancient,No,90000
Phulwari Sharif,Dargah,Patna,16th Century,No,40000
Buxar Fort,Fort,Buxar,1054,No,30000
Maharajadhiraj Lakshmishwar Singh Museum,Museum,Darbhanga,1977,No,20000
Indosan Nippon Japanese Temple,Temple,Gaya,1972,No,50000
Kurkihar Buddhist Site,Ruins,Gaya,9th Century,No,15000
Srikrishna Science Centre,Museum,Patna,1978,No,80000
Shitalnath Jain Mandir,Temple,Pawapuri,Ancient,No,25000
